10.MOL	2	6,06 1100331 
100.MOL	2	6,06 3200331 
101.MOL	12	6,06 1301331 1302411 3301411 3302411 3301411 3302411 3302411 3302411 4102410 4102410 4102410 
102.MOL	3	6,06 3301411 3301411 
103.MOL	4	6,06 0200110 0200331 3301411 
104.MOL	5	6,06 1100331 3100331 3100331 3100331 
105.MOL	6	6,06 3100331 3100331 3100331 3100331 3100331 
106.MOL	3	6,06 3301411 3301411 
107.MOL	10	6,06 1200331 1201410 3302411 3302411 3302411 3301411 4102410 4102410 4102410 
108.MOL	10	6,06 1100331 1200331 1201410 3302411 3302411 3302411 4102410 4102410 4102410 
109.MOL	3	6,06 0200331 0200331 
11.MOL	3	6,06 0200331 0200331 
110.MOL	5	6,06 3100331 3100331 3100331 3100331 
111.MOL	2	6,06 3301411 
112.MOL	2	6,06 3100331 
113.MOL	2	6,06 0200331 
114.MOL	2	6,06 1100331 
115.MOL	2	6,06 3100331 
116.MOL	2	6,06 1100331 
117.MOL	5	6,06 1201131 1201331 1202411 1302411 
118.MOL	3	6,06 0200331 1100331 
119.MOL	3	6,06 3301411 3301411 
12.MOL	3	6,06 0200331 0200331 
120.MOL	3	6,06 0200331 3301411 
121.MOL	3	6,06 0200331 3100331 
122.MOL	4	6,06 3100331 3100331 3100331 
123.MOL	3	6,06 3301411 3301411 
124.MOL	3	6,06 0200331 1100331 
125.MOL	9	6,06 0200331 1100331 1100240 1300240 1300240 2400250 2400250 2400331 
126.MOL	3	6,06 0200331 1100331 
127.MOL	5	6,06 1101131 1101331 1301331 3301411 
128.MOL	2	6,06 3100331 
129.MOL	2	6,06 0200331 
13.MOL	2	6,06 3100331 
130.MOL	5	6,06 5,06N1T2 56,10N6T7 0200331 0200351 
131.MOL	7	6,06 3201320 3201320 3201331 3201320 3201331 3201331 
132.MOL	1	6,06 
133.MOL	2	6,06 3301411 
134.MOL	2	6,06 0200331 
135.MOL	3	6,06 3301411 3301411 
136.MOL	4	6,06 0200331 3100331 3100331 
137.MOL	3	6,06 3301411 3301411 
138.MOL	3	6,06 0200331 3301411 
139.MOL	3	6,06 3100331 3100331 
14.MOL	2	6,06 1100331 
140.MOL	3	6,06 0200331 3301411 
141.MOL	3	6,06 0200331 0200331 
142.MOL	3	6,06 0200331 1100331 
143.MOL	4	6,06 0200331 1200331 1201410 
144.MOL	14	6,06 0201131 0200331 0203411 0203411 1303411 1303411 3201320 3201320 3201331 3201320 3201331 3201331 4102410 
145.MOL	3	6,06 1100331 3301411 
146.MOL	2	6,06 3301411 
147.MOL	2	6,06 3301411 
148.MOL	19	6,06 0202110 0202120 0201131 0202311 0202311 0202331 1103120 1101331 1104121 1104131 1101131 1201131 1204131 1203331 1302311 1302311 1304131 3101310 
149.MOL	1	6,06 
15.MOL	2	6,06 3101331 
150.MOL	4	6,06 1100331 3100331 3100331 
151.MOL	3	6,06 3101331 3301481 
152.MOL	3	6,06 3101331 3301481 
153.MOL	11	6,06 0201051 0201121 0202410 0202410 0501121 0502410 0502410 1200331 4102410 4102410 
154.MOL	9	6,06 3301411 3301411 3302411 3302411 3302411 4102410 4102410 4102410 
155.MOL	4	6,06 1301331 1302411 3302411 
156.MOL	4	6,06 1101131 1102331 1302331 
157.MOL	4	6,06 1101131 1102331 1302331 
158.MOL	8	6,06 0202111 0202131 0202331 1100331 1101131 1103331 1303331 
159.MOL	3	6,06 1200331 1202410 
16.MOL	3	6,06 0200331 0201410 
160.MOL	3	6,06 0200331 1100331 
161.MOL	3	6,06 0200331 1100331 
162.MOL	3	6,06 1200331 1201410 
163.MOL	8	6,06 1100331 3201320 3201320 3201331 3201320 3201331 3201331 
164.MOL	3	6,06 1100331 1100331 
165.MOL	3	6,06 0200331 3100331 
166.MOL	7	6,06 1100240 1300240 1300240 2400250 2400250 2400331 
167.MOL	3	6,06 0200331 3100331 
168.MOL	3	6,06 0200331 3100331 
169.MOL	2	6,06 0200331 
17.MOL	4	6,06 1301331 1302411 3302411 
170.MOL	2	6,06 0200331 
171.MOL	2	6,06 0200331 
172.MOL	3	6,06 3301411 3301411 
173.MOL	1	6,00 
174.MOL	4	6,06 0200331 1200331 1201410 
175.MOL	3	6,06 1200331 1201410 
176.MOL	3	6,06 1200331 1201410 
177.MOL	3	6,06 3301411 3301411 
178.MOL	4	6,06 0500331 0701410 0701410 
179.MOL	3	6,06 0200331 3301411 
18.MOL	2	6,06 1102331 
180.MOL	3	6,06 0200331 3301411 
181.MOL	3	6,06 0200331 3301411 
182.MOL	2	6,06 3301411 
183.MOL	4	6,06 0500130 0500331 3301411 
184.MOL	4	6,06 1300141 1301331 1400331 
185.MOL	4	6,06 1300141 1301331 1400331 
186.MOL	4	6,06 1300141 1301331 1400331 
187.MOL	4	6,06 1300141 1301331 1400331 
188.MOL	4	6,06 1300141 1301331 1400331 
189.MOL	3	6,06 3101331 3301481 
19.MOL	2	6,06 3302411 
190.MOL	2	6,06 2200331 
191.MOL	3	6,06 3302411 3301801 
192.MOL	4	6,06 0200110 0200331 3301411 
193.MOL	4	6,06 0200110 0200331 3301411 
194.MOL	4	6,06 1101131 1103331 1303331 
195.MOL	3	6,06 0500331 3200331 
196.MOL	3	6,06 3100331 3300481 
197.MOL	3	6,06 3100331 3300481 
198.MOL	3	6,06 3100331 3300481 
199.MOL	2	6,06 3101331 
2.MOL	2	6,06 3301411 
20.MOL	5	6,06 3100331 3100331 3100331 3100331 
200.MOL	8	6,06 0301131 0303331 0302410 0302410 1100331 1100331 1303331 
201.MOL	5	6,06 3,02Q1 1200331 1201330 1201350 
202.MOL	4	6,06 0200331 0200331 3100331 
203.MOL	5	6,06 0200331 0200331 3301411 3301411 
204.MOL	5	6,06 0200331 0200331 3301411 3301411 
205.MOL	4	6,06 0200331 0200331 3200331 
206.MOL	5	6,06 0200331 0200331 1200331 1201410 
207.MOL	4	6,06 0200331 0200331 3301411 
208.MOL	4	6,06 0200331 0200331 3301411 
209.MOL	4	6,06 0200331 0200331 3301411 
21.MOL	3	6,06 3100331 3301411 
210.MOL	3	6,06 3100331 3100331 
211.MOL	10	6,06 3302411 3302411 3302411 3301411 3301411 3301411 4102410 4102410 4102410 
212.MOL	1	6,06 
213.MOL	1	6,06 
214.MOL	8	6,06 1200331 1200470 1201410 1200470 1201410 1200470 3301411 
215.MOL	3	6,06 1200331 1202410 
216.MOL	2	6,06 1101331 
217.MOL	5	6,06 1201131 1201331 1203411 1303411 
218.MOL	9	6,06 1200331 1200470 1201410 1200470 1201410 1200470 1300470 3301411 
219.MOL	8	6,06 1200331 1200470 1202410 1200470 1202410 1200470 1300470 
22.MOL	3	6,06 0200331 3301411 
220.MOL	3	6,06 0200331 0200331 
221.MOL	2	6,06 1100331 
222.MOL	7	6,06 1100240 1300240 1300240 2400250 2400250 2400331 
223.MOL	2	6,06 2100331 
224.MOL	1	6,06 
225.MOL	2	6,06 1100331 
226.MOL	2	6,06 1100331 
227.MOL	2	6,06 1100331 
228.MOL	5	6,06 1101131 1101331 1301331 3100331 
229.MOL	7	6,06 0300331 0301410 0301410 1101131 1101331 1301331 
23.MOL	3	6,06 0200331 1100331 
230.MOL	4	6,06 1101131 1101331 1301331 
231.MOL	4	6,06 1101131 1101331 1301331 
232.MOL	4	6,06 1101131 1101331 1301331 
233.MOL	4	6,06 1101131 1101331 1301331 
234.MOL	4	6,06 1100331 3100331 3300491 
235.MOL	1	6,06 
236.MOL	1	6,06 
237.MOL	1	6,06 
238.MOL	3	6,06 1200331 1202410 
239.MOL	3	6,06 0200110 0200331 
24.MOL	7	6,06 1100240 1300240 1300240 2400250 2400250 2400331 
240.MOL	3	6,06 0200020 0200331 
241.MOL	3	6,06 0200020 0200331 
242.MOL	3	6,06 1100331 3301411 
243.MOL	4	6,06 1101131 1103331 1303331 
244.MOL	4	6,06 1101131 1103331 1303331 
245.MOL	4	6,06 1300141 1303331 1402331 
246.MOL	5	6,06 1201131 1201331 1204411 1304411 
247.MOL	5	6,06 1201131 1201331 1202411 1302411 
248.MOL	2	6,06 1101331 
249.MOL	2	6,06 1101331 
25.MOL	2	6,06 3301411 
250.MOL	2	6,06 1101331 
251.MOL	2	6,06 1101331 
252.MOL	3	6,06 0200331 1101331 
253.MOL	3	6,06 0200331 1101331 
254.MOL	3	6,06 0200331 1101331 
255.MOL	4	6,06 1301311 1301331 3101331 
26.MOL	8	6,06 3100331 3201320 3201320 3201331 3201320 3201331 3201331 
27.MOL	6	6,06 1100331 1100510 1100510 1300510 3300511 
28.MOL	2	6,06 3100331 
29.MOL	3	6,06 0200331 1100331 
3.MOL	4	6,06 0500130 0500331 3301411 
30.MOL	4	6,06 1302331 1302411 3303411 
31.MOL	4	6,06 1301311 1301331 3101331 
32.MOL	4	6,06 1101131 1101331 1301331 
33.MOL	4	6,06 1301311 1301331 3101331 
34.MOL	2	6,06 3302411 
35.MOL	8	6,06 1100240 1300240 1300240 2400250 2400250 2400331 3301411 
36.MOL	5	6,06 1101131 1101331 1301331 3301411 
37.MOL	4	6,06 1101131 1101331 1301331 
38.MOL	2	6,06 1102331 
39.MOL	5	6,06 0200331 1101131 1101331 1301331 
4.MOL	3	6,06 1200331 1201410 
40.MOL	10	6,06 0300331 0303410 0303410 3201320 3201320 3201331 3201320 3201331 3201331 
41.MOL	5	6,06 0200331 1101131 1101331 1301331 
42.MOL	4	6,06 3100331 3100331 3100331 
43.MOL	7	6,06 0201131 0200331 0202411 1200331 1202410 1302411 
44.MOL	4	6,06 0200331 3100331 3300481 
45.MOL	8	6,06 1100240 1300240 1300240 2400250 2400250 2400331 3301411 
46.MOL	4	6,06 3100331 3100331 3100331 
47.MOL	5	6,06 1101131 1101331 1301331 3301411 
48.MOL	4	6,00 1101131 1104411 1304411 
49.MOL	4	6,06 3100331 3100331 3100331 
5.MOL	2	6,06 0200331 
50.MOL	3	6,06 0200331 1101331 
51.MOL	4	6,06 0300331 0302410 0302410 
52.MOL	7	6,06 1200331 1201410 3100331 3100331 3100331 3100331 
53.MOL	4	6,06 1300141 1305331 1404331 
54.MOL	7	6,06 0201131 0201131 0201331 0202411 1302411 1301331 
55.MOL	6	6,06 0200331 0201410 0302110 0302110 0300331 
56.MOL	4	6,06 0202110 0200331 0200331 
57.MOL	7	6,06 1200331 1200470 1201410 1200470 1201410 1200470 
58.MOL	3	6,06 0200331 1101331 
59.MOL	5	6,06 1101131 1101331 1301331 3301411 
6.MOL	4	6,06 1101131 1101331 1301331 
60.MOL	5	6,06 1101131 1101331 1301331 3301411 
61.MOL	3	6,06 0200020 0200331 
62.MOL	3	6,06 3100331 3100331 
63.MOL	6	6,06 0202110 0200331 0302110 0302110 0300331 
64.MOL	4	6,06 1101131 1103331 1303331 
65.MOL	5	6,06 1101131 1101331 1301331 3301411 
66.MOL	6	6,06 0200110 0200331 0200110 0200331 3301411 
67.MOL	4	6,06 1101131 1101331 1301331 
68.MOL	5	6,06 1201131 1201331 1203411 1303411 
69.MOL	2	6,06 1100331 
7.MOL	7	6,06 1100240 1300240 1300240 2400250 2400250 2400331 
70.MOL	8	6,06 1200331 1200470 1202410 1200470 1202410 1200470 1300470 
71.MOL	6	6,06 0200331 0700110 0700130 0700331 3301411 
72.MOL	7	6,06 0700110 0700130 0700331 1301331 1302411 3302411 
73.MOL	6	6,06 0200331 0700110 0700130 0700331 3301411 
74.MOL	8	6,06 0202110 0200331 0700110 0700130 0700331 1102120 1200331 
75.MOL	9	6,06 0200331 0200331 0700110 0700130 0700331 3302411 3302411 4102410 
76.MOL	8	6,06 0700110 0700130 0700331 1201131 1201331 1203411 1303411 
77.MOL	5	6,06 1201131 1201331 1204411 1304411 
78.MOL	3	6,06 0200331 3301411 
79.MOL	5	6,06 1201131 1201331 1204411 1304411 
8.MOL	7	6,06 3201320 3201320 3201331 3201320 3201331 3201331 
80.MOL	2	6,06 3301411 
81.MOL	6	6,06 0200331 0200331 1102331 1102410 3303411 
82.MOL	4	6,06 0200331 0200331 1102331 
83.MOL	4	6,06 1301311 1301331 3101331 
84.MOL	4	6,06 0201131 0201331 1301331 
85.MOL	1	6,06 
86.MOL	3	6,06 3100331 3100331 
87.MOL	2	6,06 3101331 
88.MOL	5	6,06 0200331 1101131 1101331 1301331 
89.MOL	2	6,06 3101331 
9.MOL	8	6,06 3100331 3201320 3201320 3201331 3201320 3201331 3201331 
90.MOL	4	6,06 0201131 0201331 1301331 
91.MOL	4	6,06 0200331 1100331 3100331 
92.MOL	5	6,06 0200331 0200331 3301411 3301411 
93.MOL	4	6,06 0200331 1100331 3100331 
94.MOL	6	6,06 0200331 0200331 3302411 3302411 4102410 
95.MOL	4	6,06 0500130 0500331 3301411 
96.MOL	5	6,06 1201131 1201331 1202411 1302411 
97.MOL	3	6,06 3100331 3300491 
98.MOL	4	6,06 0201131 0201331 1301331 
99.MOL	4	6,06 0200110 0200331 3301411 
t1.mol	3	6,06 3100331 3300481 
t10.mol	4	6,06 3100331 3100331 3100331 
